ID,Source,Domain,Question,Option_A,Option_B,Option_C,Option_D,Correct_Index,Correct_Answer,Explanation,Result
308,dojo-exam4,high-perf-arch,"An organization uses a Microsoft SQL Server database to support its suite of applications. The organization plans to transition to an Amazon Aurora PostgreSQL database while minimizing application code modifications.
Which combination of actions will achieve these objectives? (Select TWO.)",Use AWS AppConfig to manage configuration updates during the migration.,Turn on Babelfish on Aurora PostgreSQL to allow applications to continue using existing SQL queries,Use AWS Schema Conversion Tool (AWS SCT) to convert the database schema and AWS Database Migration Service (AWS DMS) to migrate the data.,Use Amazon Kinesis Data Streams for real-time data replication to Aurora PostgreSQL.,1,Turn on Babelfish on Aurora PostgreSQL to allow applications to continue using existing SQL queries,"AWS Schema Conversion Tool (AWS SCT) is a service that helps convert database schemas from one database engine to another. It supports conversion from various source databases, including Microsoft SQL",Incorrect
309,dojo-exam4,high-perf-arch,"A company launched a global news website that is deployed to AWS and is using MySQL RDS. The website has millions of viewers from all over the world, which means that the website has a read-heavy database workload. All database transactions must be ACID compliant to ensure data integrity.
In this scenario, which of the following is the best option to use to increase the read-throughput on the MySQL database?",Enable Multi-AZ deployments,Use SQS to queue up the requests,Enable Amazon RDS Read Replicas,Enable Amazon RDS Standby Replicas,0,Enable Multi-AZ deployments,Amazon RDS Read Replicas provide enhanced performance and durability for database (DB) instances. This feature makes it easy to elastically scale out beyond the capacity constraints of a single DB ins,Incorrect
310,dojo-exam4,secure-arch,"A hospital has a mission-critical application that uses a RESTful API powered by Amazon API Gateway and AWS Lambda. The medical officers upload PDF reports to the system which are then stored as static media content in an Amazon S3 bucket.
The security team wants to improve its visibility when it comes to cyber-attacks and ensure HIPAA (Health Insurance Portability and Accountability Act) compliance. The company is searching for a solution that continuously monitors object-level S3 API operation",Use Amazon Textract to extract the text from the PDF reports. Integrate Amazon Comprehend Medical with the existing Lambda function to identify the PHI from the extracted text.,Use Amazon Textract with the `StartDocumentTextDetection` API operation to extract text from PDF reports. Analyze the extracted data with a custom-built PHI detection algorithm within the Lambda function.,Use Amazon Transcribe to read and analyze the PDF reports using the `StartTranscriptionJob API` operation. Use Amazon CloudWatch Logs to detect protected health information (PHI) content by tracking access logs and security events.,Use Amazon Textract Medical with PII redaction turned on to extract and filter sensitive text from the PDF reports. Create a new Lambda function that calls the regular Amazon Comprehend API to identify the PHI from the extracted text.,0,Use Amazon Textract to extract the text from the PDF reports. Integrate Amazon Comprehend Medical with the existing Lambda function to identify the PHI from the extracted text.,Amazon Comprehend Medical is a natural language processing service that makes it easy to use machine learning to extract relevant medical information from unstructured text. Using Amazon Comprehend Me,Incorrect
311,dojo-exam4,high-perf-arch,"A company has hundreds of VPCs with multiple VPN connections to their data centers spanning 5 AWS Regions. As the number of its workloads grows, the company must be able to scale its networks across multiple accounts and VPCs to keep up. A Solutions Architect is tasked to interconnect all of the company’s on-premises networks, VPNs, and VPCs into a single gateway, which includes support for inter-region peering across multiple AWS regions.
Which of the following is the BEST solution that the arc",Enable inter-region VPC peering that allows peering relationships to be established between multiple VPCs across different AWS regions. Set up a networking configuration that ensures that the traffic will always stay on the global AWS backbone and never traverse the public Internet.,"Set up an AWS VPN CloudHub for inter-region VPC access and a Direct Connect gateway for the VPN connections to the on-premises data centers. Create a virtual private gateway in each VPC, then create a private virtual interface for each AWS Direct Connect connection to the Direct Connect gateway.","Set up an AWS Direct Connect Gateway to achieve inter-region VPC access to all of the AWS resources and on-premises data centers. Set up a link aggregation group (LAG) to aggregate multiple connections at a single AWS Direct Connect endpoint in order to treat them as a single, managed connection. La","Set up an AWS Transit Gateway in each region to interconnect all networks within it. Then, route traffic between the transit gateways through a peering connection.",0,Enable inter-region VPC peering that allows peering relationships to be established between multiple VPCs across different AWS regions. Set up a networking configuration that ensures that the traffic will always stay on the global AWS backbone and never traverse the public Internet.,AWS Transit Gateway is a service that enables customers to connect their Amazon Virtual Private Clouds (VPCs) and their on-premises networks to a single gateway. As you grow the number of workloads ru,Incorrect
312,dojo-exam4,secure-arch,"There is a new compliance rule in your company that audits every Windows and Linux EC2 instances each month to view any performance issues. They have more than a hundred EC2 instances running in production, and each must have a logging function that collects various system details regarding that instance. The SysOps team will periodically review these logs and analyze their contents using AWS Analytics tools, and the result will need to be retained in an S3 bucket.
In this scenario, what is the ",Install the unified CloudWatch Logs agent in each instance which will automatically collect and push data to CloudWatch Logs. Analyze the log data with CloudWatch Logs Insights.,Install AWS Inspector Agent in each instance which will collect and push data to CloudWatch Logs periodically. Set up a CloudWatch dashboard to properly analyze the log data of all instances.,Install the AWS Systems Manager Agent (SSM Agent) in each instance which will automatically collect and push data to CloudWatch Logs. Analyze the log data with CloudWatch Logs Insights.,Install AWS SDK in each instance and create a custom daemon script that would collect and push data to CloudWatch Logs periodically. Enable CloudWatch detailed monitoring and use CloudWatch Logs Insights to analyze the log data of all instances.,0,Install the unified CloudWatch Logs agent in each instance which will automatically collect and push data to CloudWatch Logs. Analyze the log data with CloudWatch Logs Insights.,"To collect logs from your Amazon EC2 instances and on-premises servers into CloudWatch Logs, AWS offers both a new unified CloudWatch agent, and an older CloudWatch Logs agent. It is recommended to us",Incorrect
313,dojo-exam4,high-perf-arch,"A company plans to develop a custom messaging service that will be used to train an AI for an automatic response feature. The service is expected to receive thousands of messages per day, all of which will be processed by an Amazon EMR cluster. It is crucial that none of the messages are lost, no duplicates are produced, and that the messages are processed in EMR in the same order as arrival.
Which of the following options can satisfy the given requirement?",Create an Amazon Kinesis Data Stream to collect the messages.,Create an Amazon Data Firehose to handle the messages.,Set up an Amazon SNS Topic to handle the messages.,Set up an Amazon SQS standard queue and configure a dead-letter queue (DLQ) to handle failed messages.,0,Create an Amazon Kinesis Data Stream to collect the messages.,The solution must ensure that messages are durable so that no data is lost and that records are processed in the same order as they arrive. Amazon Kinesis Data Streams satisfies these requirements thr,Incorrect
314,dojo-exam4,resilient-arch,"A company plans to migrate a NoSQL database to an EC2 instance. The database is configured to replicate the data automatically to keep multiple copies of data for redundancy. The Solutions Architect needs to launch an instance that has a high IOPS and sequential read/write access.
Which of the following options fulfills the requirement if I/O throughput is the highest priority?",Use Storage optimized instances with instance store volume.,Use General purpose instances with EBS volume.,Use Memory optimized instances with EBS volume.,Use Compute optimized instance with instance store volume.,0,Use Storage optimized instances with instance store volume.,"Amazon EC2 provides a wide selection of instance types optimized to fit different use cases. Instance types comprise varying combinations of CPU, memory, storage, and networking capacity and give you ",Incorrect
315,dojo-exam4,high-perf-arch,"A startup plans to develop a multiplayer game that uses UDP as the protocol for communication between clients and game servers. The data of the users will be stored in a key-value store. As the Solutions Architect, you need to implement a solution that will distribute the traffic across a number of servers.
Which of the following could help you achieve this requirement?",Distribute the traffic using Network Load Balancer and store the data in Amazon DynamoDB.,Distribute the traffic using Application Load Balancer and store the data in Amazon DynamoDB.,Distribute the traffic using Application Load Balancer and store the data in Amazon RDS.,Distribute the traffic using Network Load Balancer and store the data in Amazon Aurora.,0,Distribute the traffic using Network Load Balancer and store the data in Amazon DynamoDB.,A Network Load Balancer functions at the fourth layer of the Open Systems Interconnection (OSI) model. It can handle millions of requests per second. After the load balancer receives a connection requ,Incorrect
316,dojo-exam4,cost-optimized-arch,"A web application requires a minimum of six Amazon Elastic Compute Cloud (EC2) instances running at all times. You are tasked to deploy the application to three availability zones in the EU Ireland region (eu-west-1a, eu-west-1b, and eu-west-1c). It is required that the system is fault-tolerant up to the loss of one Availability Zone.
Which of the following setup is the most cost-effective solution which also maintains the fault-tolerance of your system?","3 instances in eu-west-1a, 3 instances in eu-west-1b, and 3 instances in eu-west-1c","6 instances in eu-west-1a, 6 instances in eu-west-1b, and 6 instances in eu-west-1c","2 instances in eu-west-1a, 2 instances in eu-west-1b, and 2 instances in eu-west-1c","6 instances in eu-west-1a, 6 instances in eu-west-1b, and no instances in eu-west-1c",0,"3 instances in eu-west-1a, 3 instances in eu-west-1b, and 3 instances in eu-west-1c","Basically, fault-tolerance is the ability of a system to remain in operation even in the event that some of its components fail without any service degradation. In AWS, it can also refer to the minimu",Incorrect
317,dojo-exam4,cost-optimized-arch,"A company has a global news website hosted in a fleet of EC2 Instances. Lately, the load on the website has increased which resulted in slower response time for the site visitors. This issue impacts the revenue of the company as some readers tend to leave the site if it does not load after 10 seconds. The goal is to address the issue in a cost-effective manner.”
Which of the below services in AWS can be used to solve this problem? (Select TWO.)",Use Amazon RDS Multi-AZ deployments for database read scalability.,"For better read throughput, use AWS Storage Gateway to distribute the content across multiple regions.",Use Amazon CloudFront with website as the custom origin.,Use Amazon ElastiCache for the website's in-memory data store or cache.,2,Use Amazon CloudFront with website as the custom origin.,"The global news website has a problem with latency considering that there are a lot of readers of the site from all parts of the globe. In this scenario, you can use a content delivery network (CDN) w",Incorrect
318,dojo-exam4,high-perf-arch,"A large multinational investment bank has a web application that requires a minimum of 4 EC2 instances to run to ensure that it can cater to its users across the globe. You are instructed to ensure fault tolerance of this system.
Which of the following is the best option?",Deploy an Auto Scaling group with 4 instances in one Availability Zone behind an Application Load Balancer.,Deploy an Auto Scaling group with 2 instances in each of 2 Availability Zones behind an Application Load Balancer.,Deploy an Auto Scaling group with 1 instance in each of 4 Availability Zones behind an Application Load Balancer.,Deploy an Auto Scaling group with 2 instances in each of 3 Availability Zones behind an Application Load Balancer.,0,Deploy an Auto Scaling group with 4 instances in one Availability Zone behind an Application Load Balancer.,"Fault Tolerance is the ability of a system to remain in operation even if some of the components used to build the system fail. In AWS, this means that in the event of server fault or system failures,",Incorrect
319,dojo-exam4,high-perf-arch,"A company has a web-based order processing system that is currently using a standard queue in Amazon SQS. The IT Manager noticed that there are a lot of cases where an order was processed twice. This issue has caused a lot of trouble in processing and made the customers very unhappy. The goal is to ensure that this issue will not recur.
What solution should be implemented to prevent this from happening again in the future?",Use an Amazon SQS FIFO Queue instead.,Alter the retention period in SQS.,Alter the visibility timeout of SQS.,Change the message size in SQS.,0,Use an Amazon SQS FIFO Queue instead.,Amazon SQS FIFO (First-In-First-Out) Queues have all the capabilities of the standard queue with additional capabilities designed to enhance messaging between applications when the order of operations,Incorrect
320,dojo-exam4,high-perf-arch,"A real-time data analytics application is using AWS Lambda to process data and store results in JSON format to an S3 bucket. To speed up the existing workflow, you have to use a service where you can run sophisticated Big Data analytics on your data without moving them into a separate analytics system.
Which of the following group of services can you use to meet this requirement?","Amazon X-Ray, Amazon Neptune, DynamoDB","Amazon Neptune, DynamoDB DAX, Amazon Redshift Spectrum","Amazon Glue, Amazon Redshift, Amazon S3","Amazon Athena, Amazon Redshift Spectrum, AWS Glue",1,"Amazon Neptune, DynamoDB DAX, Amazon Redshift Spectrum","Amazon Athena, Amazon Redshift Spectrum, and AWS Glue are highly relevant services for performing Big Data analytics directly on data stored in Amazon S3, without needing to move the data to a separat",Incorrect
321,dojo-exam4,high-perf-arch,"A company hosts all its applications on its data center on the US East Coast. Most of the workloads are legacy applications that are hosted on individual virtual machines running in Linux and Windows operating systems. The company plans to migrate all of its VM workloads to the AWS cloud. To minimize changes in the applications during the migration process, it has been decided that the company will use a “lift-and-shift” strategy. The company also wants to minimize downtime during the migration ",Export the on-premises VMs and upload the images to an Amazon S3 bucket. Use VM Import/Export service to import the images and launch them as Amazon EC2 instances.,Install the AWS Replication Agent on each of the on-premises VMs to continuously replicate the servers to AWS. Use AWS Migration Service (AWS MGN) to launch test instances and perform cutover once testing is completed.,"Use the AWS Application Discovery Service for lift-and-shift migrations. Deploy the AWS Application Discovery Agent to the on-premises data center to start the replication process. After the replication task is completed, launch Amazon EC2 instances based on the created AMIs.","Utilize AWS DataSync to migrate the application workloads to AWS. Deploy the AWS DataSync VM on the on-premises data center. Once replication is completed, launch Amazon EC2 instances based on the created AMIs.",0,Export the on-premises VMs and upload the images to an Amazon S3 bucket. Use VM Import/Export service to import the images and launch them as Amazon EC2 instances.,AWS Application Migration Service (AWS MGN) is the primary migration service recommended for lift-and-shift migrations to AWS. AWS encourages customers who are currently using AWS Elastic Disaster Rec,Incorrect
322,dojo-exam4,high-perf-arch,"A company has a web application hosted in an On-Demand EC2 instance. You are creating a shell script that needs the instance’s public and private IP addresses.
What is the best way to get the instance’s associated IP addresses which your shell script can use?",By using a Curl or Get Command to get the latest user data information from http://169.254.169.254/latest/user-data/,By using a CloudWatch metric.,By using IAM.,By using a Curl or Get Command to get the latest metadata information from http://169.254.169.254/latest/meta-data/,0,By using a Curl or Get Command to get the latest user data information from http://169.254.169.254/latest/user-data/,"Instance metadata is data about your EC2 instance that you can use to configure or manage the running instance. Because your instance metadata is available from your running instance, you do not need ",Incorrect
323,dojo-exam4,secure-arch,"A company is looking to store its confidential financial files in AWS, which are accessed every week. The Architect was instructed to set up the storage system, which uses envelope encryption and automates key rotation. It should also provide an audit trail that shows who used the encryption key and by whom for security purposes.
Which combination of actions should the Architect implement to satisfy the requirement in the most cost-effective way? (Select TWO.)",Use Amazon S3 Glacier Deep Archive to store the data.,Use Amazon S3 to store the data.,Configure Server-Side Encryption with AWS KMS Keys (SSE-KMS).,Configure Server-Side Encryption with Amazon S3-Managed Keys (SSE-S3).,2,Configure Server-Side Encryption with AWS KMS Keys (SSE-KMS).,"Server-side encryption is the encryption of data at its destination by the application or service that receives it. AWS Key Management Service (AWS KMS) is a service that combines secure, highly avail",Incorrect
324,dojo-exam4,resilient-arch,"An organization plans to use an AWS Direct Connect connection to establish a dedicated connection between its on-premises network and AWS. The organization needs to launch a fully managed solution that will automate and accelerate the replication of data to and from various AWS storage services.
Which of the following solutions would you recommend?",Use an AWS Storage Gateway tape gateway to store data on virtual tape cartridges and asynchronously copy your backups to AWS.,Use an AWS Storage Gateway file gateway to store and retrieve files directly using the SMB file system protocol.,Use an AWS DataSync agent to rapidly move the data over a service endpoint.,Use an AWS DataSync agent to rapidly move the data over the Internet.,2,Use an AWS DataSync agent to rapidly move the data over a service endpoint.,"AWS DataSync allows you to copy large datasets with millions of files, without having to build custom solutions with open source tools or license and manage expensive commercial network acceleration s",Incorrect
325,dojo-exam4,high-perf-arch,"A company needs to implement a solution that will process real-time streaming data of its users across the globe. This will enable them to track and analyze globally-distributed user activity on their website and mobile applications, including clickstream analysis. The solution should process the data in close geographical proximity to their users and respond to user requests at low latencies.
Which of the following is the most suitable solution for this scenario?",Integrate CloudFront with Lambda@Edge in order to process the data in close geographical proximity to users and respond to user requests at low latencies. Process real-time streaming data using Amazon Athena and durably store the results to an Amazon S3 bucket.,Use a CloudFront web distribution and Route 53 with a Geoproximity routing policy in order to process the data in close geographical proximity to users and respond to user requests at low latencies. Process real-time streaming data using Kinesis and durably store the results to an Amazon S3 bucket.,"Use a CloudFront web distribution and Route 53 with a latency-based routing policy, in order to process the data in close geographical proximity to users and respond to user requests at low latencies. Process real-time streaming data using Kinesis and durably store the results to an Amazon S3 bucket",Integrate CloudFront with Lambda@Edge in order to process the data in close geographical proximity to users and respond to user requests at low latencies. Process real-time streaming data using Kinesis and durably store the results to an Amazon S3 bucket.,0,Integrate CloudFront with Lambda@Edge in order to process the data in close geographical proximity to users and respond to user requests at low latencies. Process real-time streaming data using Amazon Athena and durably store the results to an Amazon S3 bucket.,"Lambda@Edge is a feature of Amazon CloudFront that lets you run code closer to users of your application, which improves performance and reduces latency. With Lambda@Edge, you don’t have to provision ",Incorrect
326,dojo-exam4,resilient-arch,"A Solutions Architect is designing a setup for a database that will run on Amazon RDS for MySQL. He needs to ensure that the database can automatically failover to an RDS instance to continue operating in the event of failure. The architecture should also be as highly available as possible.
Which among the following actions should the Solutions Architect do?",Create a standby replica in another availability zone by enabling Multi-AZ deployment.,"Create five read replicas across different availability zones. In the event of an Availability Zone outage, promote any replica to become the primary instance.","Create five cross-region read replicas in each region. In the event of an Availability Zone outage, promote any replica to become the primary instance.","Create a read replica in the same region where the DB instance resides. In addition, create a read replica in a different region to survive a region’s failure. In the event of an Availability Zone outage, promote any replica to become the primary instance.",0,Create a standby replica in another availability zone by enabling Multi-AZ deployment.,You can run an Amazon RDS DB instance in several AZs with Multi-AZ deployment. Amazon automatically provisions and maintains a secondary standby DB instance in a different AZ. Your primary DB instance,Incorrect
327,dojo-exam4,high-perf-arch,"A Solutions Architect is working for a large global media company with multiple office locations all around the world. The Architect is instructed to build a system to distribute training videos to all employees.
Using Amazon CloudFront, what method would be used to serve content that is stored in Amazon S3 but not publicly accessible from S3 directly?",Create a web ACL in AWS WAF to block any public S3 access and attach it to the CloudFront distribution.,Create an Identity and Access Management (IAM) user for CloudFront and grant access to the objects in your S3 bucket to that IAM user.,Create an S3 bucket policy that lists the CloudFront distribution ID as the principal and the target bucket as the Amazon Resource Name (ARN).,Create an Origin Access Control (OAC) for CloudFront and grant access to the objects in your S3 bucket to that OAC.,0,Create a web ACL in AWS WAF to block any public S3 access and attach it to the CloudFront distribution.,"When you create or update a distribution in CloudFront, you can add an origin access Control (OAC) and automatically update the bucket policy to give the origin access control permission to access you",Incorrect
328,dojo-exam4,high-perf-arch,"A solutions architect is tasked with designing a scalable infrastructure solution for a business that runs uses Amazon Elastic Kubernetes Service (Amazon EKS) to execute container applications. Since the company’s workload varies throughout the day, they want to make sure that its underlying infrastructure automatically scales in and out in response to demand.
Which of the following would meet the requirements with the LEAST amount of operational overhead?",Integrate an edge-optimized API endpoint in Amazon API Gateway with Amazon EKS to manage and expose APIs for the containerized applications running on EKS.,Set up CloudWatch alarms for CPU utilization or request count to monitor the relevant metrics of the container applications running on Amazon EKS.,Use a combination of Kubernetes Metrics and Kubernetes Cluster Autoscaler to manage the number of nodes.,Use Amazon EC2 Auto Scaling Groups with custom scaling policies to manage the scaling of EKS worker nodes.,2,Use a combination of Kubernetes Metrics and Kubernetes Cluster Autoscaler to manage the number of nodes.,Autoscaling is a function that automatically scales your resources up or down to meet changing demands. This is a major Kubernetes function that would otherwise require extensive human resources to pe,Incorrect
329,dojo-exam4,secure-arch,"A financial services organization is developing a cloud-native application on AWS to process and analyze customer transaction data. The application utilizes Amazon Aurora for the database, Amazon EFS for file storage, and Amazon EventBridge to trigger AWS Step Functions for workflow orchestration.
The organization has implemented AWS IAM Identity Center for user authentication. The data science, engineering, and compliance teams require secure access to Amazon Aurora and Amazon EFS while maintai",Use Amazon Cognito User Pools for authentication and use Cognito Identity Pools to provide temporary AWS credentials. Create fine-grained IAM roles for Aurora and EFS access in each team.,Set up AWS Control Tower to manage multi-account access. Use Service Control Policies (SCPs) to restrict access to Aurora and EFS at the organizational level. Create IAM roles in each account with specific permissions.,Enable the IAM Identity Center with an Identity Center directory and create permission sets for granular access for Amazon Aurora and Amazon EFS. Assign teams to groups linked to specific permission sets based on their roles.,Create separate AWS accounts for each team using AWS Organizations. Set up cross-account IAM roles with least privilege and assign specific Aurora and EFS permissions based on team roles.,0,Use Amazon Cognito User Pools for authentication and use Cognito Identity Pools to provide temporary AWS credentials. Create fine-grained IAM roles for Aurora and EFS access in each team.,"AWS IAM Identity Center centralizes access management for various AWS accounts and applications. It provides single sign-on (SSO) access, enabling users to manage all their assigned accounts from a si",Incorrect
330,dojo-exam4,high-perf-arch,"A company has a web application hosted in AWS cloud where the application logs are sent to Amazon CloudWatch. Lately, the web application has been encountering some errors which can be resolved simply by restarting the instance.
What will you do to automatically restart the EC2 instances whenever the same application error occurs?","First, look at the existing Flow logs for keywords related to the application error to create a custom metric. Then, create a CloudWatch alarm for that custom metric which calls a Lambda function that invokes an action to restart the EC2 instance.","First, look at the existing CloudWatch logs for keywords related to the application error to create a custom metric. Then, create a CloudWatch alarm for that custom metric which invokes an action to restart the EC2 instance.","First, look at the existing CloudWatch logs for keywords related to the application error to create a custom metric. Then, create an alarm in Amazon SNS for that custom metric which invokes an action to restart the EC2 instance.","First, look at the existing Flow logs for keywords related to the application error to create a custom metric. Then, create a CloudWatch alarm for that custom metric which invokes an action to restart the EC2 instance.",0,"First, look at the existing Flow logs for keywords related to the application error to create a custom metric. Then, create a CloudWatch alarm for that custom metric which calls a Lambda function that invokes an action to restart the EC2 instance.","In this scenario, you can look at the existing CloudWatch logs for keywords related to the application error to create a custom metric. Then, create a CloudWatch alarm for that custom metric which inv",Incorrect
331,dojo-exam4,cost-optimized-arch,"A company conducts performance testing on a large instance MySQL RDS DB instance twice a week. They use Performance Insights to analyze and fine-tune expensive queries. The company needs to reduce its operational expenses in running the tests without compromising the tests’ integrity.
Which of the following is the most cost-effective solution?",Stop the database once the test is done and restart it only when necessary.,"Once the testing is completed, take a snapshot of the database and terminate it. Restore the database from the snapshot when necessary.",Downgrade the database to a smaller instance.,Perform a `mysqldump` to get a copy of the database on a local machine. Use MySQL Workbench to analyze the queries.,0,Stop the database once the test is done and restart it only when necessary.,"Amazon RDS creates a storage volume snapshot that backs up the entire DB instance, not just individual databases. It’s important to keep in mind that when creating a DB snapshot on a Single-AZ DB inst",Incorrect
332,dojo-exam4,cost-optimized-arch,"A company has an OLTP (Online Transactional Processing) application that is hosted in an Amazon ECS cluster using the Fargate launch type. It has an Amazon RDS database that stores data of its production website. The Data Analytics team needs to run queries against the database to track and audit all user transactions. These query operations against the production database must not impact application performance in any way.
Which of the following is the MOST suitable and cost-effective solution ",Upgrade the instance type of the RDS database to a large instance.,Set up a new Amazon Redshift database cluster. Migrate the product database into Redshift and allow the Data Analytics team to fetch data from it.,Set up a new Amazon RDS Read Replica of the production database. Direct the Data Analytics team to query the production data from the replica.,Set up a Multi-AZ deployments configuration of your production database in RDS. Direct the Data Analytics team to query the production data from the standby instance.,2,Set up a new Amazon RDS Read Replica of the production database. Direct the Data Analytics team to query the production data from the replica.,Amazon RDS Read Replicas provide enhanced performance and durability for database (DB) instances. This feature makes it easy to elastically scale out beyond the capacity constraints of a single DB ins,Incorrect
333,dojo-exam4,high-perf-arch,"A leading IT consulting company has an application which processes a large stream of financial data by an Amazon ECS Cluster then stores the result to a DynamoDB table. You have to design a solution to detect new entries in the DynamoDB table then automatically trigger a Lambda function to run some tests to verify the processed data.
What solution can be easily implemented to alert the Lambda function of new entries while requiring minimal configuration change to your architecture?",Use CloudWatch Alarms to trigger the Lambda function whenever a new entry is created in the DynamoDB table.,Invoke the Lambda functions using SNS each time that the ECS Cluster successfully processed financial data.,Use Systems Manager Automation to detect new entries in the DynamoDB table then automatically invoke the Lambda function for processing.,Enable DynamoDB Streams to capture table activity and automatically trigger the Lambda function.,0,Use CloudWatch Alarms to trigger the Lambda function whenever a new entry is created in the DynamoDB table.,"Amazon DynamoDB is integrated with AWS Lambda so that you can create triggers—pieces of code that automatically respond to events in DynamoDB Streams. With triggers, you can build applications that re",Incorrect
334,dojo-exam4,cost-optimized-arch,"A company has stored 200 TB of backup files in Amazon S3. The files are in a vendor-proprietary format. The Solutions Architect needs to use the vendor’s proprietary file conversion software to retrieve the files from their Amazon S3 bucket, transform the files to an industry-standard format, and re-upload the files back to Amazon S3. The solution must minimize the data transfer costs.
Which of the following options can satisfy the given requirement?",Export the data using AWS Snowball Edge device. Install the file conversion software on the device. Transform the data and re-upload it to Amazon S3.,Deploy the EC2 instance in a different Region. Install the conversion software on the instance. Perform data transformation and re-upload it to Amazon S3.,Install the file conversion software in Amazon S3. Use S3 Batch Operations to perform data transformation.,Deploy the EC2 instance in the same Region as Amazon S3. Install the file conversion software on the instance. Perform data transformation and re-upload it to Amazon S3.,0,Export the data using AWS Snowball Edge device. Install the file conversion software on the device. Transform the data and re-upload it to Amazon S3.,"Amazon S3 is object storage built to store and retrieve any amount of data from anywhere on the Internet. It’s a simple storage service that offers industry-leading durability, availability, performan",Incorrect
335,dojo-exam4,cost-optimized-arch,"A few easily reproducible files must be stored in AWS without concerns about storage capacity. During the first month, all files will be accessed frequently, but after that period, access will become infrequent. Older files will only be accessed by developers, and no specific retrieval time requirement is defined. However, files under a specific <code>tdojo-finance</code> prefix in the Amazon S3 bucket will be used for post-processing that requires millisecond retrieval time.
Given these conditi","Store the files in S3, then after a month, change the storage class of the `tdojo-finance` prefix to S3 Standard-Infrequent Access (Standard-IA) while the remaining go to Glacier using a lifecycle policy.","Store the files in S3, then after a month, change the storage class of the bucket to S3 Intelligent-Tiering using a lifecycle policy.","Store the files in S3, then after a month, change the storage class of the bucket to S3 Standard-Infrequent Access (Standard-IA) using a lifecycle policy.","Store the files in S3, then after a month, change the storage class of the `tdojo-finance` prefix to S3 One Zone-Infrequent Access (One-Zone IA), while the remaining go to Glacier using a lifecycle policy.",0,"Store the files in S3, then after a month, change the storage class of the `tdojo-finance` prefix to S3 Standard-Infrequent Access (Standard-IA) while the remaining go to Glacier using a lifecycle policy.","Initially, the files will be accessed frequently, and S3 is a durable and highly available storage solution for that. After a month has passed, the files won’t be accessed frequently anymore, so it is",Incorrect
336,dojo-exam4,secure-arch,"A newly hired Solutions Architect is checking all of the security groups and network access control list rules of the company’s AWS resources. For security purposes, the MS SQL connection via port 1433 of the database tier should be secured. Below is the security group configuration of their Microsoft SQL Server database:

The application tier hosted in an Auto Scaling group of EC2 instances is the only identified resource that needs to connect to the database. The Architect should ensure that t","For the MS SQL rule, change the `Source` to the static AnyCast IP address attached to the application tier.","For the MS SQL rule, change the `Source` to the EC2 instance IDs of the underlying instances of the Auto Scaling group.","For the MS SQL rule, change the `Source` to the security group ID attached to the application tier.","For the MS SQL rule, change the `Source` to the Network ACL ID attached to the application tier.",0,"For the MS SQL rule, change the `Source` to the static AnyCast IP address attached to the application tier.","A security group acts as a virtual firewall for your instance to control inbound and outbound traffic. When you launch an instance in a VPC, you can assign up to five security groups to the instance. ",Incorrect
337,dojo-exam4,high-perf-arch,"A company is running a web application on AWS. The application is made up of an Auto-Scaling group that sits behind an Application Load Balancer and an Amazon DynamoDB table where user data is stored. The solutions architect must design the application to remain available in the event of a regional failure. A solution to automatically monitor the status of your workloads across your AWS account, conduct architectural reviews and check for AWS best practices.
Which configuration meets the require","In a secondary region, create a global secondary index of the DynamoDB table and replicate the auto-scaling group and application load balancer. Use Route 53 DNS failover to automatically route traffic to the resources in the secondary region. Set up the AWS Compute Optimizer to automatically get re","Write a CloudFormation template that includes the auto-scaling group, application load balancer, and DynamoDB table. In the event of a failure, deploy the template in a secondary region. Configure Amazon EventBridge (Amazon CloudWatch Events) to trigger a Lambda function that updates the application","In a secondary region, create a global table of the DynamoDB table and replicate the auto-scaling group and application load balancer. Use Route 53 DNS failover to automatically route traffic to the resources in the secondary region. Set up the AWS Well-Architected Tool to easily get recommendations","Write a CloudFormation template that includes the auto-scaling group, application load balancer, and DynamoDB table. In the event of a failure, deploy the template in a secondary region. Use Route 53 DNS failover to automatically route traffic to the resources in the secondary region. Set up and con",0,"In a secondary region, create a global secondary index of the DynamoDB table and replicate the auto-scaling group and application load balancer. Use Route 53 DNS failover to automatically route traffic to the resources in the secondary region. Set up the AWS Compute Optimizer to automatically get re","When you have more than one resource performing the same function—for example, more than one HTTP serve—you can configure Amazon Route 53 to check the health of your resources and respond to DNS queri",Incorrect
338,dojo-exam4,resilient-arch,"A data analytics company, which uses machine learning to collect and analyze consumer data, is using Redshift cluster as their data warehouse. You are instructed to implement a disaster recovery plan for their systems to ensure business continuity even in the event of an AWS region outage.
Which of the following is the best approach to meet this requirement?",Create a scheduled job that will automatically take the snapshot of your Redshift Cluster and store it to an S3 bucket. Restore the snapshot in case of an AWS region outage.,Enable Cross-Region Snapshots Copy in your Amazon Redshift Cluster.,"Do nothing because Amazon Redshift is a highly available, fully-managed data warehouse which can withstand an outage of an entire AWS region.",Use Automated snapshots of your Redshift Cluster.,0,Create a scheduled job that will automatically take the snapshot of your Redshift Cluster and store it to an S3 bucket. Restore the snapshot in case of an AWS region outage.,"You can configure Amazon Redshift to copy snapshots for a cluster to another region. To configure cross-region snapshot copy, you need to enable this copy feature for each cluster and configure where ",Incorrect
